ROW 0:  || MENU ||  || OUTLINE || FITUR || FILL || TIPE USER ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
ROW 1:  ||  ||  ||  ||  ||  || SALES ||  ||  ||  ||  || ADMIN ||  ||  ||  ||  || SPECTATOR ||  ||  ||  ||  || SUPER ADMIN ||  ||  ||  ||  || 
ROW 2:  ||  ||  ||  ||  ||  || ADD || VIEW || APRV || EDIT || DEL || ADD || VIEW || APRV || EDIT || DEL || ADD || VIEW || APRV || EDIT || DEL || ADD || VIEW || APRV || EDIT || DEL || 
ROW 50:  ||  ||  ||  || TANGGAL TRANSAKSI || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 51:  ||  ||  ||  || CARA PEMBAYARAN || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 52:  ||  ||  ||  || ALAMAT PENAGIHAN || Autofill ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 53:  ||  ||  || ITEM || KATEGORI || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 54:  ||  ||  ||  || DESKERIPSI || entry || ☑ ||  ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 55:  ||  ||  ||  || JUMLAH || entry || ☑ ||  ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 56:  ||  ||  || TOTAL DAN PAJAK || DISKON AKHIR || entry || ☑ ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 57:  ||  ||  ||  || PAJAK || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 58:  ||  ||  || CATATAN DAN LAMPIRAN || MEMO || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 59:  ||  ||  ||  || LAMPIRAN FOTO || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 60:  || PIUTANG || DASHBOARD PIUTANG || Graph Total Tempo Monthly || Export Button (Created By User and Admin Only) || Export Daily (PDF) ||  || ☑ ||  ||  ||  ||  || ☑ ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 61:  ||  ||  || List Toko Tempo Belum dan Sudah Terbayar || Export Button (Created By User and Admin Only) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 62:  ||  || BUAT PENJUALAN || INFORMASI PELANGGAN || NAMA PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 63:  ||  ||  ||  || NOMOR TELEPON PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 64:  ||  ||  ||  || ALAMAT PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 65:  ||  ||  || DETAIL TRANSAKSI || NOMOR TRANSAKSI || autofill based date ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 66:  ||  ||  ||  || TANGGAL TRANSAKSI || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 67:  ||  ||  ||  || JATUH TEMPO || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 68:  ||  ||  ||  || TIPE HARGA || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 69:  ||  ||  ||  || NO REFERENSI || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ || ☑ ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 70:  ||  ||  ||  || KOORDINAT || autofill based gps ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 71:  ||  ||  || ITEM PENJUALAN || NAMA PRODUK || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 72:  ||  ||  ||  || QTY PRODUK || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 73:  ||  ||  ||  || UNIT || auto fill dari produk ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 74:  ||  ||  ||  || HARGA || auto fill dari produk ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 75:  ||  ||  ||  || DISCONT PERCENT || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 76:  ||  ||  ||  || DISCONT RP || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 77:  ||  ||  ||  || BATCH AND EXP || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 78:  ||  ||  ||  || DESKRIPSI || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 79:  ||  ||  ||  || JUMLAH SUB || Auto Calculated ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 80:  ||  ||  || TOTAL DAN PAJAK || DISKON AKHIR || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 81:  ||  ||  ||  || PAJAK || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 82:  ||  ||  ||  || NO RESI || entry ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 83:  ||  ||  ||  || BIAYA PENGIRIMAN || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 84:  ||  ||  || CATATAN DAN LAMPIRAN || TAG SALES || Autofill based Account ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 85:  ||  ||  ||  || MEMO || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 86:  ||  ||  ||  || LAMPIRAN FOTO || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 87:  ||  || PEMBAYARAN PIUTANG || DETAIL PEMBAYARAN || NO TRANSAKSI || Autofill ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 88:  ||  ||  ||  || GUDANG || choose from list ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 89:  ||  ||  ||  || INVOICE PENJUALAN || choose from list ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 90:  ||  ||  ||  || METODE PEMBAYARAN || choose from list ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 91:  || HUTANG || DASHBOARD HUTANG || Graph Total Pembelian Monthly || Export Button (Created By User and Admin Only) || Export Daily (PDF) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 92:  ||  ||  || List Tempo Hutang Belum/Sudah Terbayar || Export Button (Created By User and Admin Only) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 93:  ||  || BUAT PEMBELIAN || INFORMASI PENJUAL || NAMA PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 94:  ||  ||  ||  || NOMOR TELEPON PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 95:  ||  ||  ||  || ALAMAT PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 96:  ||  ||  || DETAIL TRANSAKSI || NOMOR TRANSAKSI || autofill based date ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 97:  ||  ||  ||  || TANGGAL TRANSAKSI || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 98:  ||  ||  ||  || JATUH TEMPO || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 99:  ||  ||  ||  || TIPE HARGA || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 100:  ||  ||  ||  || NO REFERENSI || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ || ☑ ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 101:  ||  ||  ||  || KOORDINAT || autofill based gps ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 102:  ||  ||  || ITEM PEMEBLIAN || NAMA PRODUK || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 103:  ||  ||  ||  || QTY PRODUK || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
ROW 104:  ||  ||  ||  || UNIT || auto fill dari produk ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || NEW
